SMILES,CID
[Ti+3].[Ti+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,165866
[Cl-].Cc1c(C)c2Sc3ccccc3C(=O)c2cc1OCC(O)C[N+](C)(C)C,128383
[H+].[H+].[Cl-].[Cl-].Oc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1CN4CCCC4,25193
C=CCCC1CO1,66314
CN(C)CC[S](=O)(=O)c1ccc(cc1)N2CCC(=N2)c3ccc(Cl)cc3,82580
Cc1c(C[S](=O)c2[nH]c3ccccc3n2)nccc1OCC(F)(F)F,3883
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,3571576
N.N.OC(O)=O,10480
[Cl-].[Cl-].[Ba++],25204
[Bi+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,107711
[Cl-].[Cl-].[Cl-].[Pr+3],66317
[Pr].O[N+]([O-])=O.O[N+]([O-])=O.O[N+]([O-])=O,119229
[Cl-].[Cl-].[Cl-].[Sm+3],61508
[Cl-].[Cl-].[Cl-].[Sc+3],82586
[Cl-].[Cl-].[Cl-].[Yb+3],61510
O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[Y+3],202254
[Y+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,159283
Cc1cccc(CC(C)(C)CO)c1,175948
[Na+].COc1cc(nc(OC)n1)N=[S]([O-])(=O)c2ccc(N)cc2,44828548
[Li+].[Li+].[O-][S]([O-])(=O)=O,66320
[Li+].[Li+].[Li+].[O-][P]([O-])([O-])=O,165867
[Mg++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,25052
[Mn++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,61511
CC[C@]12CC[C@H]3[C@@H](CCC4=C3CC=C(C4)OC)[C@@H]1CC[C@@H]2O,101950
[Cu++].[O-]c1cccc2cccnc12.[O-]c3cccc4cccnc34,3032555
Fc1c(F)c(c(F)c(F)c1Br)c2c(F)c(F)c(Br)c(F)c2F,82600
COc1ccc(CC(O)=O)cc1,7690
OC(=O)Cc1ccc(cc1)[N+]([O-])=O,4661
CC(=O)Nc1ccc(cc1)[N+]([O-])=O,7691
Clc1ccc(cc1)N=C=O,7693
CCCCc1ccc(N)cc1,7694
NC[C@H](O)c1ccc(O)cc1,440266
Cc1ccc(cc1)[S](O)(=O)=O,6101
CN(C)CCN1CCN(C)CC1,66908
COc1ccc(CCC(C)=O)cc1,61007
[Na+].Nc1ccc(cc1)N=Nc2ccc(cc2)[S]([O-])(=O)=O,23691997
CCCCCCCCCc1ccc(OCCO)cc1,7700
OCCOc1ccc(OCCO)cc1,66912
CCCCCCCCCc1ccc(O)cc1,1752
